date,prefecture_code,gender,elderly,status,count
2021-04-12,40,U,NA,1,1
2021-04-12,41,F,1,1,45
2021-04-12,41,M,1,1,16
2021-04-12,41,U,NA,1,14
2021-04-12,42,F,1,1,60
2021-04-12,42,M,0,1,2
2021-04-12,42,M,1,1,8
2021-04-12,42,U,NA,1,21
2021-04-12,43,F,1,1,15
2021-04-12,43,M,1,1,3
2021-04-12,43,U,NA,1,7
2021-04-12,44,M,0,1,1
2021-04-12,44,U,NA,1,1
2021-04-12,45,F,0,1,4
2021-04-12,45,F,1,1,32
2021-04-12,45,M,0,1,10
2021-04-12,45,M,1,1,4
2021-04-12,45,U,NA,1,5
2021-04-12,46,F,0,1,8
2021-04-12,46,F,1,1,15
2021-04-12,46,M,0,1,3
2021-04-12,46,M,1,1,2
2021-04-12,46,U,NA,1,4
2021-04-12,47,F,0,1,1
2021-04-12,47,F,1,1,22
2021-04-12,47,M,0,1,2
2021-04-12,47,M,1,1,9
2021-04-12,47,U,NA,1,6
2021-04-13,01,F,0,1,2
2021-04-13,01,F,1,1,61
2021-04-13,01,M,0,1,1
2021-04-13,01,M,1,1,10
2021-04-13,01,U,NA,1,20
2021-04-13,02,F,0,1,5
2021-04-13,02,F,1,1,227
2021-04-13,02,M,0,1,5
2021-04-13,02,M,1,1,56
2021-04-13,02,U,NA,1,91
2021-04-13,03,F,0,1,3
2021-04-13,03,F,1,1,17
2021-04-13,03,M,1,1,5
2021-04-13,03,U,NA,1,13
2021-04-13,04,F,0,1,10
2021-04-13,04,F,1,1,11
2021-04-13,04,M,0,1,9
2021-04-13,04,M,1,1,2
2021-04-13,04,U,NA,1,3
2021-04-13,05,F,0,1,17
2021-04-13,05,F,1,1,3
2021-04-13,05,M,0,1,8
2021-04-13,05,M,1,1,1
2021-04-13,06,F,0,1,5
2021-04-13,06,F,1,1,10
2021-04-13,06,M,0,1,1
2021-04-13,06,M,1,1,6
2021-04-13,06,U,NA,1,3
2021-04-13,07,F,1,1,105
2021-04-13,07,M,1,1,91
2021-04-13,07,U,NA,1,2
2021-04-13,08,F,0,1,27
2021-04-13,08,F,1,1,10
2021-04-13,08,M,0,1,13
2021-04-13,08,M,1,1,4
2021-04-13,08,U,NA,1,1
2021-04-13,09,F,1,1,13
2021-04-13,09,U,NA,1,2
2021-04-13,10,F,0,1,1
2021-04-13,10,F,1,1,8
2021-04-13,10,M,0,1,1
2021-04-13,10,M,1,1,1
2021-04-13,10,U,NA,1,1
2021-04-13,11,F,0,1,53
2021-04-13,11,F,1,1,74
2021-04-13,11,M,0,1,26
2021-04-13,11,M,1,1,29
2021-04-13,11,U,NA,1,39
2021-04-13,12,F,0,1,4
2021-04-13,12,F,1,1,4
2021-04-13,12,M,0,1,3
2021-04-13,12,M,1,1,3
2021-04-13,12,U,NA,1,3
2021-04-13,13,F,0,1,65
2021-04-13,13,F,1,1,44
2021-04-13,13,M,0,1,40
2021-04-13,13,M,1,1,10
2021-04-13,13,U,NA,1,14
2021-04-13,14,F,0,1,109
2021-04-13,14,F,1,1,162
2021-04-13,14,M,0,1,61
2021-04-13,14,M,1,1,62
2021-04-13,14,U,NA,1,74
2021-04-13,15,F,0,1,2
2021-04-13,15,F,1,1,63
2021-04-13,15,M,0,1,1
2021-04-13,15,M,1,1,41
2021-04-13,15,U,NA,1,21
2021-04-13,16,F,0,1,3
2021-04-13,16,F,1,1,14
2021-04-13,16,M,0,1,1
2021-04-13,16,U,NA,1,3
2021-04-13,17,F,0,1,22
2021-04-13,17,F,1,1,32
2021-04-13,17,M,0,1,5
2021-04-13,17,M,1,1,37
2021-04-13,17,U,NA,1,8
2021-04-13,18,F,0,1,7
2021-04-13,18,F,1,1,116
2021-04-13,18,M,0,1,3
2021-04-13,18,M,1,1,27
2021-04-13,18,U,NA,1,45
2021-04-13,20,F,0,1,4
2021-04-13,20,F,1,1,1
2021-04-13,20,M,0,1,1
2021-04-13,20,M,1,1,2
2021-04-13,21,F,1,1,13
2021-04-13,21,M,1,1,6
2021-04-13,21,U,1,1,1
2021-04-13,21,U,NA,1,9
2021-04-13,22,F,0,1,107
2021-04-13,22,F,1,1,10
2021-04-13,22,M,0,1,20
2021-04-13,22,M,1,1,6
2021-04-13,22,U,NA,1,1
2021-04-13,23,F,0,1,5
2021-04-13,23,M,0,1,2
2021-04-13,23,M,1,1,1
2021-04-13,23,U,NA,1,3
2021-04-13,24,F,0,1,2
2021-04-13,24,F,1,1,55
2021-04-13,24,M,0,1,1
2021-04-13,24,M,1,1,32
2021-04-13,24,U,NA,1,49
2021-04-13,25,F,0,1,2
2021-04-13,25,F,1,1,31
2021-04-13,25,M,0,1,4
2021-04-13,25,M,1,1,24
2021-04-13,25,U,NA,1,5
2021-04-13,26,F,0,1,44
2021-04-13,26,F,1,1,36
2021-04-13,26,M,0,1,22
2021-04-13,26,M,1,1,14
2021-04-13,26,U,NA,1,9
2021-04-13,27,F,0,1,17
2021-04-13,27,F,1,1,193
2021-04-13,27,M,0,1,8
2021-04-13,27,M,1,1,55
2021-04-13,27,U,NA,1,63
2021-04-13,28,F,0,1,123
2021-04-13,28,F,1,1,37
2021-04-13,28,M,0,1,32
2021-04-13,28,M,1,1,8
2021-04-13,28,U,NA,1,11
2021-04-13,29,F,0,1,4
2021-04-13,29,F,1,1,32
2021-04-13,29,M,1,1,5
2021-04-13,29,U,NA,1,9
2021-04-13,30,F,1,1,24
2021-04-13,30,M,0,1,1
2021-04-13,30,M,1,1,21
2021-04-13,31,M,0,1,1
2021-04-13,32,F,0,1,2
2021-04-13,32,F,1,1,53
2021-04-13,32,M,0,1,2
2021-04-13,32,M,1,1,16
2021-04-13,32,U,NA,1,24
2021-04-13,33,F,1,1,19
2021-04-13,33,M,1,1,9
2021-04-13,33,U,NA,1,13
